brand,title,category,reward_display,verified,official_url,affiliate_program_url,referral_program_url
Chase,Chase Freedom Flex,Credit Cards,Earn $250 bonus,"September 24, 2026",https://creditcards.chase.com/all-credit-cards,,https://www.chase.com/referafriend/catch-all
Chase,Chase Freedom Unlimited,Credit Cards,Earn $200 bonus,"September 24, 2026",https://creditcards.chase.com/all-credit-cards,,https://www.chase.com/referafriend/catch-all
Chase,Chase Sapphire Preferred,Credit Cards,"Earn 75,000 points","September 24, 2026",https://creditcards.chase.com/all-credit-cards,,https://www.chase.com/referafriend/catch-all
Chase,Chase Sapphire Reserve,Credit Cards,"Earn 100,000 points","September 24, 2026",https://creditcards.chase.com/all-credit-cards,,https://www.chase.com/referafriend/catch-all
Chase,United Explorer Card,Credit Cards,"Earn up to 60,000 bonus miles","September 24, 2026",https://creditcards.chase.com/all-credit-cards,,https://www.chase.com/referafriend/catch-all
Chase,United Quest Card,Credit Cards,"Earn up to 70,000 bonus miles + 500 PQP","September 24, 2026",https://creditcards.chase.com/all-credit-cards,,https://www.chase.com/referafriend/catch-all
Chase,United Gateway Card,Credit Cards,"Earn up to 40,000 bonus miles","September 24, 2026",https://creditcards.chase.com/all-credit-cards,,https://www.chase.com/referafriend/catch-all
Chase,United Club Card,Credit Cards,"Earn up to 90,000 bonus miles","September 24, 2026",https://creditcards.chase.com/all-credit-cards,,https://www.chase.com/referafriend/catch-all
Chase,Southwest Rapid Rewards Plus,Credit Cards,"Earn 50,000 bonus points","September 24, 2026",https://creditcards.chase.com/all-credit-cards,,https://www.chase.com/referafriend/catch-all
Chase,Southwest Rapid Rewards Priority,Credit Cards,"Earn 60,000 bonus points","September 24, 2026",https://creditcards.chase.com/all-credit-cards,,https://www.chase.com/referafriend/catch-all
Chase,Southwest Rapid Rewards Premier,Credit Cards,"Earn 55,000 bonus points","September 24, 2026",https://creditcards.chase.com/all-credit-cards,,https://www.chase.com/referafriend/catch-all
Chase,Marriott Bonvoy Boundless,Credit Cards,Earn 3 Free Night Awards,"September 24, 2026",https://creditcards.chase.com/all-credit-cards,,https://www.chase.com/referafriend/catch-all
Chase,Marriott Bonvoy Bountiful,Credit Cards,"Earn 85,000 bonus points","September 24, 2026",https://creditcards.chase.com/all-credit-cards,,https://www.chase.com/referafriend/catch-all
Chase,Marriott Bonvoy Bold,Credit Cards,"Earn 45,000 bonus points","September 24, 2026",https://creditcards.chase.com/all-credit-cards,,https://www.chase.com/referafriend/catch-all
Chase,IHG One Rewards Premier,Credit Cards,"Earn 140,000 bonus points","September 24, 2026",https://creditcards.chase.com/all-credit-cards,,https://www.chase.com/referafriend/catch-all
